source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,ruwe,astrometric_excess_noise,non_single_star,distance_pc,abs_g_mag,bp_rp_0,umap_1,umap_2,cluster_label
5290826558177392640,120.34054154072103,-60.42790469225158,2.493793560691648,0.01055316,-5.000740585322796,0.013145745,11.75642077378832,0.013573963,12.612689,12.959527,12.091292,0.86823463,1844.1925,529.4216,715.2425,1.0331589,0.061376005,0,400.9955016976836,4.8402915200298455,0.73653466,-5.206914,1.8747602,2
5290936337539808512,119.05149701289618,-60.36003575035544,1.8836313909973936,0.2349823,-4.752034344603912,0.267711,11.86479174365784,0.2969072,19.495062,21.006592,18.230064,2.7765274,385.1081,9.742326,69.24769,1.0614592,0.7784049,0,530.8894323907472,10.870041471455409,2.7765274,8.085274,11.600126,2
5290936921655116160,118.936701213742,-60.35740954145895,2.5984615594287277,0.1026649,-4.202044856497104,0.12318647,10.9528189255869,0.1269907,18.304802,19.857328,17.115921,2.7414074,659.3434,33.224636,161.63867,0.9624254,0.0,0,384.8430993221429,10.954083408107827,2.3706074,12.38319,0.5178316,2
5290941212324402688,118.45375021299527,-60.46464988079824,2.529901399558112,0.019970262,-4.7412824786887935,0.025571166,13.81992254430408,0.026265455,14.907671,15.610858,14.078123,1.5327349,506.23105,139.6808,210.66086,1.0914452,0.08817576,0,395.2723217492453,7.655388977750587,1.1346349,-1.2894149,-1.1787786,-1
5290942140038463488,118.54611914264656,-60.37671555377955,2.1226572858807984,0.21174625,-3.4372661055002203,0.24603617,12.338380565032717,0.27584168,19.044155,20.371855,17.462145,2.90971,281.3142,17.115742,96.73888,1.1137233,1.1067871,0,471.1076096229304,10.678554524403111,2.90971,9.238795,9.174991,2
5290942586714591744,118.1870668786585,-60.49898206957723,2.28328538012884,0.15267995,-3.606813694764676,0.1895345,11.681475656733973,0.23661233,18.581709,20.278301,17.373053,2.9052486,569.17505,11.780313,77.296074,1.0305119,0.38677734,0,437.9654022676625,10.917309896748527,2.5469487,9.723816,5.879312,2
5290947019121286016,118.7018604279774,-60.38978723878594,2.139055848730428,0.19565003,-4.331727844129239,0.22962317,10.984026872998603,0.27715892,19.309296,20.973967,18.061039,2.9129276,417.32193,11.9646015,74.779594,0.9483059,0.0,0,467.4959751955611,10.960406272990909,2.9129276,9.7200165,9.895552,2
5290949596101834240,119.03350873206018,-60.24942901279776,2.607967944981516,0.14860599,-5.1082882526297055,0.19359513,11.468013226815874,0.18114227,18.830137,20.434504,17.605259,2.8292446,506.41922,10.15998,96.3226,1.0759238,0.6918313,0,383.44029570006376,11.50434850287792,2.4296446,13.602995,0.27011067,2
5290950906068692992,118.9011466375524,-60.20497077639112,2.422546573744392,0.012882438,-4.412266680771896,0.01691678,11.105398310610989,0.014419424,14.24525,14.77112,13.55668,1.2144403,739.31165,213.14401,312.34808,0.9911395,0.0,0,412.7887615610862,6.74001044465855,0.9067403,-2.3989408,-1.5394355,2
5290963894045866368,117.5658778399679,-60.48788699302639,1.7006811260458037,0.3314956,-5.1501815470796775,0.4195356,8.582261052439515,0.3931975,19.80411,21.047174,18.59704,2.4501343,262.85187,8.560604,31.657436,1.0298144,1.0604634,0,587.9997047565679,10.957224033312016,2.4501343,6.86807,12.7188,2
