source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,ruwe,astrometric_excess_noise,non_single_star,distance_pc,abs_g_mag,bp_rp_0
5289873964490838016,119.98349129462426,-61.693951213845416,2.164073502263189,0.25202367,-4.275739438950505,0.41943,10.882298479392176,0.3381782,19.680773,20.95256,18.422508,2.5300522,347.40976,9.815487,42.29075,0.93984,0.0,0,462.0915135064496,11.357132818362656,2.5300522
5289874067570052096,120.0117004447244,-61.69343502674892,2.7703389499556805,0.216097,-5.576208281014491,0.36277884,11.7529329561522,0.26543334,19.510452,21.195898,18.20446,2.991438,362.82452,9.0205765,64.96136,0.94555765,0.0,0,360.96666078206704,11.723116810938075,2.991438
5289876270891357824,120.22817926161238,-61.59004101858792,2.3635341145092204,0.014555583,-4.323956901427788,0.021052726,11.111858355543024,0.01614714,9.27235,9.3223095,9.143277,0.17903233,5659.493,2500.5862,3847.3223,0.9756572,0.13312727,0,423.0952258574218,1.140159687051037,0.17903233
5289879638142176768,119.95989831432409,-61.549749773999416,2.6180966082126553,0.29282856,-4.660411369155936,0.48178405,11.84716092773245,0.34532788,19.930943,21.448847,18.652517,2.7963295,317.70856,8.505073,45.38625,0.9841154,0.0,0,381.9568754121295,12.020870875655806,2.7963295
5289886166495716992,119.58074888536693,-61.54729685901237,2.3672026062796854,0.036335785,-3.676377306939706,0.057670172,10.5467525576786,0.050341975,16.434183,17.454294,15.44758,2.0067139,1370.8147,159.79707,498.6247,0.9821206,0.0,0,422.43954841347863,8.305360272273335,2.0067139
5289888086344364544,119.30756511837853,-61.575860444665786,2.612694505451029,0.39889187,-4.4568817656860364,0.6316124,12.02276581261201,0.54066604,20.06864,21.508585,18.787626,2.7209587,256.11438,11.050709,33.651253,1.0849298,1.8267361,0,382.74662342406936,12.154082914958767,2.7209587
5289889911707145088,119.60086057137309,-61.45620912465987,1.81505378682587,0.012892288,-7.314721220083781,0.017683417,9.44925968297203,0.015137837,14.197192,14.648814,13.568804,1.0800104,2727.2078,605.45087,896.312,0.9491271,0.0,0,550.9478602002093,5.044839695218208,0.8396104
5289889946066884480,119.64282512854645,-61.45219205814361,2.459984714617204,0.032760154,-5.288129364354498,0.04494028,11.213532196466257,0.03928109,16.163008,17.123465,15.192441,1.9310236,1915.972,197.10867,555.23834,1.1093034,0.11356469,0,406.5065908979069,8.117669779084686,1.9310236
5289896263961385600,119.85494119733606,-61.38615594811692,2.3175153232920014,0.17480686,-3.2642215924556783,0.22776772,10.586235299883068,0.20666672,19.182808,20.726002,17.94883,2.777172,498.15097,13.174644,93.26532,0.9913816,0.0,0,431.4966075734561,11.007920994157194,2.777172
5289899360635150592,119.86053018603857,-61.25843219986632,2.212700795369169,0.15977457,-4.196657113684647,0.21847789,10.710305720079955,0.17676191,18.886671,20.646704,17.652899,2.993805,444.4101,11.843326,109.160324,0.9371683,0.0,0,451.9363856572208,9.705784531348078,2.3989048
5289960452251363968,121.39142329191506,-61.12561342622277,2.5040474581810663,0.079289556,-5.704196717315929,0.11269062,11.546233347903867,0.10267679,17.70504,19.16215,16.54022,2.6219292,904.53986,45.079426,234.72166,0.9758022,0.0,0,399.3534534390963,9.068552751077855,2.2343292
5289971447367604224,120.34538909309784,-61.503017269630234,2.3801506827316654,0.014319839,-4.771569488453279,0.02103685,11.249857253797193,0.01796777,14.485764,15.03769,13.781144,1.256546,914.4801,277.42337,381.11703,0.9594468,0.0,0,420.1414672000153,5.997285825696695,1.057946
5289973985688383232,120.5028949657703,-61.37944145283094,2.2336118446835833,0.14141874,-4.799022726323938,0.18082038,11.191383839148786,0.18290275,18.808332,20.400522,17.584696,2.8158264,606.16437,14.743247,87.997215,0.96544546,0.0,0,447.70536222763513,9.62477094988971,2.2043264
5289977868338901248,120.57690452165822,-61.2706316390629,1.5268415486524358,0.16461019,-6.486829403381519,0.22484614,11.532044495363094,0.22430049,19.032896,20.510334,17.913288,2.597046,555.0078,14.559306,80.33493,1.0092574,0.0,0,654.9468089092695,9.951865889508266,2.597046
5289990276500740224,120.4394860404079,-61.254341910413864,1.8466685129548213,0.4292519,-4.639852437252995,0.5696887,11.913788638448896,0.6189539,20.303371,21.406218,18.977663,2.4285545,197.31969,5.5627365,22.939596,1.0793611,1.6548221,0,541.5157040826552,11.635316150513432,2.4285545
5289992990923208704,120.20560689187221,-61.204294958930596,2.364513267751498,0.048877753,-4.533747803526671,0.063651025,11.36607215729359,0.05949814,16.941397,18.199533,15.829987,2.369547,1302.8928,86.53636,429.185,0.9652215,0.0,0,422.9200206395697,8.075605498669223,1.9383469
5289995701043259520,120.22173591495346,-61.12172047565298,2.4684639980924157,0.10107049,-4.737942702598945,0.12254328,11.54282196512669,0.11525996,18.1422,19.6292,16.95089,2.6783104,800.5731,26.682777,140.13634,0.9385659,0.0,0,405.1102227023695,9.565534456472747,2.3344104
5289997315951521920,120.71303933715609,-61.11388104203305,2.40881424291495,0.054970298,-4.7502048943353135,0.06733189,11.382443793594293,0.07250757,17.305014,18.527012,16.22086,2.3061523,1048.2444,58.363445,238.76157,1.0158747,0.086847164,0,415.14201559597296,9.214030208730147,2.3061523
5290000137748809856,120.73701366362832,-61.01655476614144,2.4173458670927284,0.020263504,-4.237923914113961,0.025391199,11.150836551623698,0.025227103,15.229148,15.910744,14.426005,1.4847383,862.221,235.40306,318.14996,0.9681599,0.0,0,413.67684021263824,6.484441853421197,1.1296383
5290003603783783552,120.63428531597297,-60.96465210602872,2.201217530329569,0.12587337,-5.156129979157732,0.15047418,11.49689578596524,0.17379342,18.430958,20.050753,17.211723,2.8390293,605.35046,24.873917,111.33457,0.972559,0.26562846,0,454.2940378319987,9.52937261545278,2.4358294
5290010956768761088,121.17158091173337,-60.97198734860099,2.1389616133923415,0.11629957,-5.061640786032309,0.1446423,11.056993200274903,0.14904368,18.393986,20.010344,17.192122,2.818222,658.60754,26.008076,133.72044,0.9767807,0.0,0,467.5165714704081,9.426900713932866,2.415522
5290012399877777408,121.22973000618579,-60.96987787250622,1.6393716370943403,0.08268556,-4.401590836207847,0.097347796,9.985773069013742,0.10016235,17.647537,18.783707,16.589062,2.194645,1329.7473,47.933643,240.53581,1.0576332,0.2874668,0,609.989814007288,8.197624324613223,1.8926449
5290036932731253504,121.30935569513667,-60.657315862684165,2.407258404164882,0.15179011,-5.60670747723643,0.21157949,10.69155429163685,0.15930368,18.722437,20.40713,17.45517,2.9519596,594.02844,12.450547,92.399895,0.9863748,0.4306369,0,415.410326647885,9.854950470051795,2.4266596
5290614897889102848,119.0850315362453,-61.607375152474624,2.5133632172501432,0.12431483,-3.6956002118244955,0.15312906,11.217391176180065,0.15474832,18.526136,20.21445,17.311937,2.9025135,626.52124,28.00231,156.84795,0.969433,0.37130782,0,397.8732533111925,9.798812647873756,2.4295135
5290618952338416128,118.84592446646575,-61.49605841023372,2.5940063022619047,0.2366961,-3.9753500359596865,0.3019152,12.169525269714782,0.32241082,19.397276,21.018698,18.101948,2.91675,432.12875,12.148352,81.83415,1.0590824,1.0864338,0,385.5040749623571,11.467131059125013,2.91675
5290637957573221760,118.73902331090339,-61.29218830880862,2.236839102619919,0.031082705,-4.171182216289862,0.039693147,10.984202965466716,0.03648418,15.805262,16.796894,14.814608,1.9822865,962.19415,181.98204,324.20663,1.0583366,0.100800514,0,447.05942364327433,6.765435354928005,1.5523865
5290643382112493056,119.1871984541809,-61.43074537302312,2.495249657825415,0.2792188,-5.08117793611429,0.35725054,11.963717263718056,0.46405378,19.826801,21.539259,18.57292,2.966339,323.04553,7.1657834,40.460075,0.99681264,0.6280516,0,400.7615017054005,11.81237132357658,2.966339
5290644447265418880,119.09341114041607,-61.39046333934801,1.8718520110436518,0.2945505,-5.1542956050541315,0.35319576,11.415125308010373,0.49016935,19.534271,21.195095,18.2009,2.994196,363.84903,8.514194,53.885525,1.0299959,0.9244001,0,534.2302671900059,10.895628792031966,2.994196
5290647436560332800,119.35718202228776,-61.23892291084872,2.267929162407289,0.29489964,-4.913871765354242,0.39161277,11.828721794600657,0.35714412,19.75489,21.307215,18.484161,2.8230534,326.9438,9.665547,61.128864,1.0185902,0.8178506,0,440.93087940125605,11.533037869242097,2.8230534
5290660944238288384,118.96812690525462,-61.24214288741545,2.510648668259339,0.07401333,-4.011944290392786,0.11327229,11.483275381981272,0.09800398,17.619719,18.969114,16.48443,2.484684,897.4732,49.191727,298.40836,1.0253892,0.1635167,0,398.30343952238894,8.89994827620211,2.054084
5290664929963407360,119.24297686373777,-61.03551572286589,2.3434025735057427,0.22852442,-5.167324660229806,0.25435114,11.339507001426197,0.27963993,19.254545,21.03466,18.01764,3.0170212,431.1802,12.430206,81.39021,1.0932359,1.0261922,0,426.72992310663665,11.103779724417734,3.0170212
5290666544871766528,119.4272615812284,-61.09849399311231,2.0024589883170636,0.3621583,-3.687582051099122,0.40991247,11.68917218548698,0.39243078,19.924294,21.198977,18.624317,2.5746593,303.20938,8.889558,48.19877,1.0211506,0.9408762,0,499.38600782053214,11.432111669113741,2.5746593
